MouseID,Lifespan.Zsc
JAC_DO.0001,0.942092624
JAC_DO.0002,-1.633132842
JAC_DO.0003,0.13794510199999999
JAC_DO.0004,-1.297800069
JAC_DO.0005,0.18026865600000003
JAC_DO.0006,0.990927494
JAC_DO.0007,-1.170829408
JAC_DO.0008,-1.411748099
JAC_DO.0009,0.22259220899999999
JAC_DO.0010,-0.978745587
JAC_DO.0011,-1.932653376
JAC_DO.0012,1.052784995
JAC_DO.0013,0.717452223
JAC_DO.0014,-1.9554429819999999
JAC_DO.0015,-0.464351625
JAC_DO.0016,-0.269012146
JAC_DO.0017,0.710940907
JAC_DO.0018,0.020741414
JAC_DO.0020,0.414676031
JAC_DO.0021,-0.32435833199999997
JAC_DO.0022,-0.8713088729999999
JAC_DO.0023,-0.7248042640000001
JAC_DO.0024,0.216080893
JAC_DO.0025,-0.672713736
JAC_DO.0026,0.44723261
JAC_DO.0027,0.375608135
JAC_DO.0028,0.053297994
JAC_DO.0029,-0.14855280099999998
JAC_DO.0030,-0.535976101
JAC_DO.0031,0.43095432
JAC_DO.0032,1.052784995
JAC_DO.0033,-0.49365254700000005
JAC_DO.0034,-0.669458078
JAC_DO.0035,0.375608135
JAC_DO.0036,-1.9293977180000002
JAC_DO.0037,-0.9722342709999999
JAC_DO.0038,-1.4801169159999998
JAC_DO.0039,-0.646668472
JAC_DO.0040,-2.320076676
JAC_DO.0041,-0.171342407
JAC_DO.0042,0.150967734
JAC_DO.0043,-2.398212468
JAC_DO.0044,0.46676655799999994
JAC_DO.0045,-0.36017057
JAC_DO.0047,-0.767127818
JAC_DO.0048,-1.493139548
JAC_DO.0049,-0.9559559809999999
JAC_DO.0050,-0.49365254700000005
JAC_DO.0051,0.193291288
JAC_DO.0052,0.245381815
JAC_DO.0053,-0.594577945
JAC_DO.0054,0.759775777
JAC_DO.0055,0.6848956429999999
JAC_DO.0056,-1.229431252
JAC_DO.0057,0.053297994
JAC_DO.0058,-1.2131529620000001
JAC_DO.0059,0.942092624
JAC_DO.0060,0.662106037
JAC_DO.0061,-0.093206615
JAC_DO.0064,-0.542487417
JAC_DO.0065,-0.353659254
JAC_DO.0067,1.570434615
JAC_DO.0069,0.17375734
JAC_DO.0070,-1.812194031
JAC_DO.0071,-0.25273385600000003
JAC_DO.0073,-0.767127818
JAC_DO.0074,0.688151301
JAC_DO.0075,0.248637473
JAC_DO.0076,-0.688992026
JAC_DO.0077,0.193291288
JAC_DO.0078,0.238870499
JAC_DO.0079,0.19654694600000003
JAC_DO.0080,0.186779972
JAC_DO.0081,1.6095025109999999
JAC_DO.0082,0.066320626
JAC_DO.0083,-1.392214151
JAC_DO.0084,-0.7085259740000001
JAC_DO.0085,1.313237634
JAC_DO.0087,0.6230381420000001
JAC_DO.0088,0.359329845
JAC_DO.0090,0.13794510199999999
JAC_DO.0092,-2.2614748330000003
JAC_DO.0093,-0.119251879
JAC_DO.0094,-0.021582139
JAC_DO.0095,-0.737826896
JAC_DO.0096,0.134689444
JAC_DO.0097,0.750008803
JAC_DO.0098,0.531879718
JAC_DO.0099,-0.884331505
JAC_DO.0100,-0.9461890070000001
JAC_DO.0101,0.15747905
JAC_DO.0102,-0.21366596
JAC_DO.0103,-2.388445494
JAC_DO.0104,-0.594577945
JAC_DO.0105,-2.215895621
JAC_DO.0106,0.802099331
JAC_DO.0107,0.251893131
JAC_DO.0108,-0.457840309
JAC_DO.0109,0.8379115690000001
JAC_DO.0110,-1.6103432359999998
JAC_DO.0111,-0.982001245
JAC_DO.0112,-1.509417838
JAC_DO.0113,0.15747905
JAC_DO.0115,-0.024837797000000002
JAC_DO.0116,0.313750633
JAC_DO.0118,-1.261987832
JAC_DO.0119,-1.261987832
JAC_DO.0120,0.538391034
JAC_DO.0121,-2.079157986
JAC_DO.0122,0.281194053
JAC_DO.0123,-0.454584651
JAC_DO.0124,-0.8713088729999999
JAC_DO.0125,0.27142707899999996
JAC_DO.0126,-0.744338212
JAC_DO.0127,0.037019704
JAC_DO.0128,-0.37319320200000006
JAC_DO.0129,-0.216921618
JAC_DO.0130,-0.282034778
JAC_DO.0132,-0.282034778
JAC_DO.0133,-0.82898532
JAC_DO.0134,0.854189858
JAC_DO.0137,-0.444817677
JAC_DO.0138,1.244868817
JAC_DO.0139,0.385375109
JAC_DO.0140,-0.24622254
JAC_DO.0141,0.9062803859999999
JAC_DO.0142,0.854189858
JAC_DO.0144,-1.349890597
JAC_DO.0145,-2.066135354
JAC_DO.0146,-0.29180175199999997
JAC_DO.0147,0.245381815
JAC_DO.0148,0.268171421
JAC_DO.0149,-2.030323116
JAC_DO.0150,-0.060650035
JAC_DO.0151,-2.04009009
JAC_DO.0152,1.163477367
JAC_DO.0153,1.179755657
JAC_DO.0154,-0.640157156
JAC_DO.0155,-0.767127818
JAC_DO.0156,-1.330356649
JAC_DO.0157,0.277938395
JAC_DO.0158,-0.555510049
JAC_DO.0159,0.8086106470000001
JAC_DO.0161,0.0760876
JAC_DO.0162,0.017485756
JAC_DO.0163,0.38863076700000004
JAC_DO.0164,1.231846185
JAC_DO.0165,-2.066135354
JAC_DO.0166,-0.190876355
JAC_DO.0167,0.9583709140000001
JAC_DO.0168,-0.0020481920000000003
JAC_DO.0169,-2.030323116
JAC_DO.0170,0.033764046
JAC_DO.0171,-0.405749782
JAC_DO.0172,1.0169727579999999
JAC_DO.0174,0.300728001
JAC_DO.0176,-0.607600577
JAC_DO.0177,-0.8908428209999999
JAC_DO.0178,0.38863076700000004
JAC_DO.0179,-2.0238118
JAC_DO.0180,-0.265756488
JAC_DO.0181,0.6230381420000001
JAC_DO.0183,-0.555510049
JAC_DO.0184,-0.490396889
JAC_DO.0185,-0.269012146
JAC_DO.0186,-0.41551675600000004
JAC_DO.0189,-0.562021365
JAC_DO.0190,-0.011815165
JAC_DO.0191,-0.513186495
JAC_DO.0193,0.525368402
JAC_DO.0194,-0.047627403
JAC_DO.0195,0.632805115
JAC_DO.0196,-1.8252166630000002
JAC_DO.0197,-0.9103767690000001
JAC_DO.0201,-0.269012146
JAC_DO.0202,-0.669458078
JAC_DO.0203,0.09236589
JAC_DO.0204,-0.5522543910000001
JAC_DO.0205,-0.171342407
JAC_DO.0206,0.57745893
JAC_DO.0209,-0.535976101
JAC_DO.0210,-0.6955033420000001
JAC_DO.0211,-2.075902328
JAC_DO.0212,-0.060650035
JAC_DO.0213,-0.9950238770000001
JAC_DO.0215,-0.028093455
JAC_DO.0216,0.14120076
JAC_DO.0222,0.632805115
JAC_DO.0223,0.13794510199999999
JAC_DO.0225,-0.8452636090000001
JAC_DO.0226,0.675128669
JAC_DO.0227,-0.102973589
JAC_DO.0228,-0.825729662
JAC_DO.0230,0.079343258
JAC_DO.0231,1.000694468
JAC_DO.0232,0.5481580079999999
JAC_DO.0233,1.085341575
JAC_DO.0234,-0.929910717
JAC_DO.0235,-2.062879696
JAC_DO.0236,-1.056881378
JAC_DO.0237,0.606759852
JAC_DO.0240,0.587225904
JAC_DO.0241,-0.646668472
JAC_DO.0242,-0.64992413
JAC_DO.0243,0.089110232
JAC_DO.0244,0.603504194
JAC_DO.0245,-0.568532681
JAC_DO.0246,0.21933655100000002
JAC_DO.0247,0.652339063
JAC_DO.0248,-2.32984365
JAC_DO.0249,0.372352477
JAC_DO.0250,-1.4736056
JAC_DO.0251,-0.653179788
JAC_DO.0252,-1.502906522
JAC_DO.0253,-0.988512561
JAC_DO.0254,0.645827747
JAC_DO.0255,1.059296311
JAC_DO.0256,-0.031349113
JAC_DO.0257,0.014230098
JAC_DO.0258,0.7076852490000001
JAC_DO.0260,-0.35040359600000004
JAC_DO.0261,-0.519697811
JAC_DO.0262,-1.727546923
JAC_DO.0263,1.7885637
JAC_DO.0264,-1.21640862
JAC_DO.0265,-1.336867965
JAC_DO.0266,-0.555510049
JAC_DO.0267,-1.646155474
JAC_DO.0268,-1.177340724
JAC_DO.0269,0.714196565
JAC_DO.0270,-0.190876355
JAC_DO.0271,-0.288546094
JAC_DO.0272,-0.5750439970000001
JAC_DO.0273,0.163990366
JAC_DO.0274,0.323517607
JAC_DO.0275,0.831400253
JAC_DO.0276,-0.584810971
JAC_DO.0277,-0.539231759
JAC_DO.0278,0.756520119
JAC_DO.0279,0.0077187819999999996
JAC_DO.0280,-0.897354137
JAC_DO.0281,-0.063905693
JAC_DO.0282,-0.744338212
JAC_DO.0283,-0.594577945
JAC_DO.0284,-0.8713088729999999
JAC_DO.0285,-0.28529043600000004
JAC_DO.0286,0.645827747
JAC_DO.0287,-0.054138719
JAC_DO.0288,0.375608135
JAC_DO.0289,-1.509417838
JAC_DO.0290,-1.21640862
JAC_DO.0291,-0.9722342709999999
JAC_DO.0292,0.49606748
JAC_DO.0293,0.564436298
JAC_DO.0294,-0.39272715
JAC_DO.0295,0.20956957699999998
JAC_DO.0296,-0.242966882
JAC_DO.0297,-0.34389228
JAC_DO.0298,-2.075902328
JAC_DO.0299,-0.73131558
JAC_DO.0300,-0.74759387
JAC_DO.0301,-0.7606165020000001
JAC_DO.0302,-0.353659254
JAC_DO.0303,-0.138785827
JAC_DO.0304,0.121666812
JAC_DO.0305,-0.68248071
JAC_DO.0306,0.01097444
JAC_DO.0307,0.02725273
JAC_DO.0310,-1.48988389
JAC_DO.0311,-0.32435833199999997
JAC_DO.0312,0.163990366
JAC_DO.0313,-0.776894792
JAC_DO.0314,-1.063392694
JAC_DO.0316,-0.6173675510000001
JAC_DO.0317,0.460255242
JAC_DO.0318,0.492811822
JAC_DO.0320,-0.851774925
JAC_DO.0321,0.7695427509999999
JAC_DO.0322,0.766287093
JAC_DO.0323,-0.464351625
JAC_DO.0324,0.134689444
JAC_DO.0325,-0.9754899290000001
JAC_DO.0326,-0.864797557
JAC_DO.0327,-0.584810971
JAC_DO.0328,-0.8354966359999999
JAC_DO.0329,-0.22994425
JAC_DO.0331,-0.688992026
JAC_DO.0332,-1.017813483
JAC_DO.0333,0.15747905
JAC_DO.0334,-1.5191848119999998
JAC_DO.0335,-1.027580457
JAC_DO.0336,0.203058262
JAC_DO.0337,-0.405749782
JAC_DO.0338,0.13794510199999999
JAC_DO.0339,0.6230381420000001
JAC_DO.0340,-0.5001638629999999
JAC_DO.0341,0.541646692
JAC_DO.0342,0.22259220899999999
JAC_DO.0343,-0.216921618
JAC_DO.0344,0.414676031
JAC_DO.0345,-0.16157543300000002
JAC_DO.0346,-1.161062434
JAC_DO.0347,-0.047627403
JAC_DO.0348,0.063064968
JAC_DO.0349,0.056553652
JAC_DO.0350,0.652339063
JAC_DO.0351,-1.53871876
JAC_DO.0352,0.118411154
JAC_DO.0356,-0.581555313
JAC_DO.0357,-1.441049021
JAC_DO.0358,0.8411672259999999
JAC_DO.0359,-0.734571238
JAC_DO.0360,-0.8387522940000001
JAC_DO.0361,0.199802604
JAC_DO.0364,-2.0270674580000003
JAC_DO.0365,0.968137888
JAC_DO.0366,0.375608135
JAC_DO.0367,-0.155064117
JAC_DO.0368,0.281194053
JAC_DO.0369,-1.450815995
JAC_DO.0370,0.238870499
JAC_DO.0371,-2.036834432
JAC_DO.0372,-0.05088306099999999
JAC_DO.0373,-0.529464785
JAC_DO.0374,0.17375734
JAC_DO.0376,-1.623365868
JAC_DO.0377,-1.320589675
JAC_DO.0379,0.37886379299999995
JAC_DO.0381,-0.334125306
JAC_DO.0383,-2.059624038
JAC_DO.0384,0.88349078
JAC_DO.0385,-0.6434128139999999
JAC_DO.0386,-2.482859576
JAC_DO.0387,-0.20064332899999998
JAC_DO.0388,-2.4958822080000003
JAC_DO.0389,-0.16808674899999998
JAC_DO.0390,-1.57127534
JAC_DO.0391,-1.327100991
JAC_DO.0392,-0.66620242
JAC_DO.0393,-0.594577945
JAC_DO.0395,0.8639568320000001
JAC_DO.0396,-0.31784701600000004
JAC_DO.0397,-0.939677691
JAC_DO.0398,-1.561508366
JAC_DO.0399,0.9062803859999999
JAC_DO.0400,0.053297994
JAC_DO.0401,0.323517607
JAC_DO.0402,-0.018326481000000002
JAC_DO.0404,-0.933166375
JAC_DO.0405,-0.282034778
JAC_DO.0406,-1.5582527080000002
JAC_DO.0407,0.284449711
JAC_DO.0408,-0.988512561
JAC_DO.0409,-0.8810758470000001
JAC_DO.0410,0.102132864
JAC_DO.0411,-1.97497693
JAC_DO.0413,-0.656435446
JAC_DO.0414,0.424443004
JAC_DO.0415,-0.949444665
JAC_DO.0416,-0.42202807200000003
JAC_DO.0417,-0.672713736
JAC_DO.0418,-2.538205761
JAC_DO.0419,0.675128669
JAC_DO.0420,-0.6303901829999999
JAC_DO.0421,-0.412261098
JAC_DO.0422,-0.38296017600000004
JAC_DO.0424,-1.366168887
JAC_DO.0425,-2.587040631
JAC_DO.0427,0.150967734
JAC_DO.0428,-2.544717077
JAC_DO.0429,0.987671836
JAC_DO.0430,-1.16757375
JAC_DO.0432,-0.369937544
JAC_DO.0433,-2.564251025
JAC_DO.0434,-1.848006269
JAC_DO.0435,0.6262938
JAC_DO.0436,-2.42751339
JAC_DO.0437,-0.913632427
JAC_DO.0438,-0.6303901829999999
JAC_DO.0439,-1.141528486
JAC_DO.0440,-0.39598280799999996
JAC_DO.0441,0.128178128
JAC_DO.0443,-0.38947149200000003
JAC_DO.0444,1.632292117
JAC_DO.0445,-0.24622254
JAC_DO.0446,-0.031349113
JAC_DO.0447,-0.688992026
JAC_DO.0448,0.642572089
JAC_DO.0449,-0.16808674899999998
JAC_DO.0450,-0.793173082
JAC_DO.0451,-0.076928325
JAC_DO.0452,-0.125763195
JAC_DO.0453,0.645827747
JAC_DO.0454,-0.594577945
JAC_DO.0455,-0.26250083
JAC_DO.0457,-1.343379281
JAC_DO.0458,-1.418259415
JAC_DO.0460,-0.467607283
JAC_DO.0461,-0.25273385600000003
JAC_DO.0462,-2.127992855
JAC_DO.0463,-2.473092602
JAC_DO.0464,-2.1410154869999998
JAC_DO.0465,-1.346634939
JAC_DO.0467,-0.5099308370000001
JAC_DO.0468,-2.547972735
JAC_DO.0470,-0.646668472
JAC_DO.0474,0.694662617
JAC_DO.0477,-0.24622254
JAC_DO.0478,-2.0238118
JAC_DO.0479,-2.124737197
JAC_DO.0481,-1.187107698
JAC_DO.0483,-0.21366596
JAC_DO.0484,-1.737313897
JAC_DO.0485,-0.16808674899999998
JAC_DO.0486,-1.219664278
JAC_DO.0488,-0.467607283
JAC_DO.0490,-1.935909034
JAC_DO.0491,0.46676655799999994
JAC_DO.0492,0.238870499
JAC_DO.0493,0.23561484100000002
JAC_DO.0494,-0.6759693940000001
JAC_DO.0495,1.300215002
JAC_DO.0496,-1.222919936
JAC_DO.0497,0.352818529
JAC_DO.0498,-0.233199908
JAC_DO.0499,-0.591322287
JAC_DO.0500,-0.848519267
JAC_DO.0502,0.518857086
JAC_DO.0503,1.296959344
JAC_DO.0504,1.290448028
JAC_DO.0506,-0.28529043600000004
JAC_DO.0507,0.251893131
JAC_DO.0508,-1.564764024
JAC_DO.0509,-0.913632427
JAC_DO.0510,0.590481562
JAC_DO.0511,-0.916888085
JAC_DO.0512,-1.401981125
JAC_DO.0514,-0.190876355
JAC_DO.0515,0.232359183
JAC_DO.0516,-0.282034778
JAC_DO.0517,-0.965722955
JAC_DO.0520,-0.35691491200000003
JAC_DO.0522,0.20956957699999998
JAC_DO.0525,0.424443004
JAC_DO.0526,-1.4475603369999999
JAC_DO.0527,-0.435050703
JAC_DO.0528,-0.6303901829999999
JAC_DO.0529,-1.291288753
JAC_DO.0532,-1.48988389
JAC_DO.0537,-0.16808674899999998
JAC_DO.0539,-0.386215834
JAC_DO.0540,-2.271241807
JAC_DO.0541,-2.079157986
JAC_DO.0543,-0.7899174240000001
JAC_DO.0545,-1.333612307
JAC_DO.0548,-1.424770731
JAC_DO.0549,-0.37644886
JAC_DO.0550,-0.207154645
JAC_DO.0551,-0.825729662
JAC_DO.0552,-0.81270703
JAC_DO.0553,0.382119451
JAC_DO.0554,-2.593551947
JAC_DO.0558,0.261660105
JAC_DO.0560,0.261660105
JAC_DO.0562,0.860701174
JAC_DO.0563,-0.783406108
JAC_DO.0565,-1.15129546
JAC_DO.0567,-0.474118599
JAC_DO.0568,-2.1019475919999997
JAC_DO.0570,-0.783406108
JAC_DO.0571,-0.64992413
JAC_DO.0572,-1.115483222
JAC_DO.0573,-1.027580457
JAC_DO.0581,0.281194053
JAC_DO.0582,0.756520119
JAC_DO.0583,-1.994510878
JAC_DO.0584,-0.435050703
JAC_DO.0585,1.293703686
JAC_DO.0587,-1.6494111319999998
JAC_DO.0590,-0.7899174240000001
JAC_DO.0591,1.306726318
JAC_DO.0593,0.7695427509999999
JAC_DO.0595,-0.669458078
JAC_DO.0596,-0.513186495
